,BL-4120_._ACB-RR0117_SEN-004__WS.IN_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-005__WS.IN_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-006__WS.OUT_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-007__WS.OUT_MEA.T_AI,BL-4120_._ACB-RR0117_SEN.VF-008__WS_MEA.VF_AI,BL-4120_._ACB-RR0117_SEN.VF-009__WS_MEA.VF_AI
2015-02-01 00:00:00,34.56,18.61,26.8,21.04,0.0125,0.03091146
2015-02-01 00:00:00,,18.42,,,,
2015-02-01 00:01:00,,18.31,,,,
2015-02-01 00:02:00,,18.025,26.95,,,
2015-02-01 00:03:00,,17.763333333333332,27.036666666666665,,,
2015-02-01 00:04:00,,17.450000000000003,,,,
2015-02-01 00:05:00,,17.226666666666667,27.08,,,
2015-02-01 00:06:00,34.46,16.936666666666667,,,,
2015-02-01 00:07:00,,16.53,,,,
2015-02-01 00:08:00,34.35,16.42,,20.93,,
2015-02-01 00:09:00,,16.21,,20.8,,
2015-02-01 00:10:00,34.25,16.06,27.19,20.740000000000002,,
2015-02-01 00:11:00,,15.989999999999998,,20.68,,
2015-02-01 00:12:00,34.14,15.92,27.09,,,
2015-02-01 00:13:00,,15.883333333333333,27.016666666666666,20.56,,
2015-02-01 00:14:00,34.01,,,,,
2015-02-01 00:15:00,,15.81,26.98,20.44,,
2015-02-01 00:16:00,33.91,15.773333333333333,,20.360000000000003,,
2015-02-01 00:17:00,33.79,,,,,
2015-02-01 00:18:00,33.68,,26.88,,,
2015-02-01 00:19:00,,,,,,
2015-02-01 00:20:00,33.58,,,20.32,,
2015-02-01 00:21:00,33.43,,,20.265,,
2015-02-01 00:22:00,33.32,15.7,26.75,,,
2015-02-01 00:23:00,33.19,15.76,,,,
2015-02-01 00:24:00,33.08,,,,,
2015-02-01 00:25:00,32.95,15.82,26.65,,,
2015-02-01 00:26:00,32.81,15.94,26.613333333333333,,,
2015-02-01 00:27:00,32.66,16.0,26.54,,,
2015-02-01 00:28:00,32.559999999999995,16.16333333333333,26.540000000000003,,,
2015-02-01 00:29:00,32.37,16.23,26.475,,,
2015-02-01 00:30:00,32.24,16.34,,,,
2015-02-01 00:31:00,32.11,16.505,26.41,,,
2015-02-01 00:32:00,31.95,16.619999999999997,,,,
2015-02-01 00:33:00,31.83,16.740000000000002,26.31,,,
2015-02-01 00:34:00,31.71,16.8,26.25,,,
2015-02-01 00:35:00,31.59,16.94,26.19,,,
2015-02-01 00:36:00,31.47,17.0,26.14,20.21,,
2015-02-01 00:37:00,31.32,17.06,,20.27,,
2015-02-01 00:38:00,,17.115000000000002,26.09,,,
2015-02-01 00:39:00,31.22,,,,,
2015-02-01 00:40:00,,,25.98,,,
2015-02-01 00:41:00,31.05,17.17,,,,
2015-02-01 00:42:00,,,,20.33,,
2015-02-01 00:43:00,30.93,,25.88,,,
2015-02-01 00:44:00,,17.28,,,,
2015-02-01 00:45:00,,,,,,
2015-02-01 00:46:00,,17.42,25.77,,,
2015-02-01 00:47:00,,,,,,
2015-02-01 00:48:00,,17.48,,,,
2015-02-01 00:49:00,30.83,17.65,,,,
2015-02-01 00:50:00,30.93,17.735,,20.43,,
2015-02-01 00:51:00,31.03,17.82,25.65,20.485,,
2015-02-01 00:52:00,31.11,18.086666666666666,25.649999999999995,,,
2015-02-01 00:53:00,31.29,18.18,,,,
2015-02-01 00:54:00,31.365000000000002,18.33,,,,
2015-02-01 00:55:00,31.63,18.439999999999998,25.54,20.54,,
2015-02-01 00:56:00,31.810000000000002,18.55,25.540000000000003,20.583333333333332,,
2015-02-01 00:57:00,31.95,18.72,25.54,,,
2015-02-01 00:58:00,32.25,18.766666666666666,,,,
2015-02-01 00:59:00,32.474999999999994,,25.64,20.67,,
2015-02-01 01:00:00,32.71333333333333,18.86,25.75,20.77,,
2015-02-01 01:01:00,33.02,18.903333333333332,25.830000000000002,20.82,,
2015-02-01 01:02:00,33.27,,25.87,20.86,,
2015-02-01 01:03:00,33.510000000000005,,25.99,,,
2015-02-01 01:04:00,33.754999999999995,,26.064999999999998,20.94,,
2015-02-01 01:05:00,34.02333333333333,,26.14,20.97666666666667,,
2015-02-01 01:06:00,34.165,18.99,26.28,,,
2015-02-01 01:07:00,34.349999999999994,,26.355,,,
2015-02-01 01:08:00,34.58,,,,,
2015-02-01 01:09:00,,,26.55,21.05,,
2015-02-01 01:10:00,34.7,19.09,26.71,21.105,,
2015-02-01 01:11:00,,19.035,26.82,,,
2015-02-01 01:12:00,,18.875,26.92,,,
2015-02-01 01:13:00,,18.373333333333335,27.013333333333335,,,
2015-02-01 01:14:00,34.81,17.854999999999997,27.06,,,
2015-02-01 01:15:00,,17.435,,,,
2015-02-01 01:16:00,34.71,16.735,27.17,,,
2015-02-01 01:17:00,34.58,16.345,27.235,21.16,,
2015-02-01 01:18:00,34.525,15.9175,,21.04,,
2015-02-01 01:19:00,34.47,15.7,,20.92,,
2015-02-01 01:20:00,34.34,15.58,27.3,20.833333333333332,,
2015-02-01 01:21:00,34.30666666666667,15.479999999999999,27.2,20.683333333333334,,
2015-02-01 01:22:00,,15.48,,20.515,,
2015-02-01 01:23:00,34.14,,,20.4,,
2015-02-01 01:24:00,34.075,15.59,27.05,,,
2015-02-01 01:25:00,34.01,15.719999999999999,,20.26,,
2015-02-01 01:26:00,33.9,15.916666666666666,26.94,20.19333333333333,,
2015-02-01 01:27:00,33.86333333333334,16.203333333333333,,,,
2015-02-01 01:28:00,33.79,16.49,,,,
2015-02-01 01:29:00,33.66,16.595,,,,
2015-02-01 01:30:00,33.595,16.89,26.83,20.16,,
2015-02-01 01:31:00,33.455000000000005,16.94,,20.22,,
2015-02-01 01:32:00,33.33,17.09,,20.28,,
2015-02-01 01:33:00,33.25666666666667,,,20.316666666666666,,
2015-02-01 01:34:00,33.1,17.25,,,,
2015-02-01 01:35:00,32.99,17.305,,20.39,,
2015-02-01 01:36:00,32.925,,,,,
