,BL-4120_._STO.C_SEN-047__WS.IN_MEA.T_AI,BL-4120_._STO.C_SEN-048__WS.OUT_MEA.T_AI,BL-4120_._STO.H_SEN-059__WS.IN_MEA.T_AI,BL-4120_._STO.H_SEN-060__WS.OUT_MEA.T_AI,BL-4120_._STO.H_SEN-061__WS.IN_MEA.T_AI,BL-4120_._STO.H_SEN-062__WS.OUT_MEA.T_AI
2015-07-01 00:00:00,16.37,9.62,35.72,35.53,28.57,35.87
2015-07-01 00:00:00,,12.69,,,28.17,35.74
2015-07-01 00:01:00,,,,33.91,31.150000000000002,35.45
2015-07-01 00:02:00,16.05,13.62,,34.235,34.375,
2015-07-01 00:03:00,15.91,13.23,,34.56,34.62,
2015-07-01 00:04:00,15.363333333333335,12.28,35.6,35.126666666666665,35.42333333333334,35.05
2015-07-01 00:05:00,14.79,10.58,35.5,35.795,36.22,35.11
2015-07-01 00:06:00,,,,,,
2015-07-01 00:07:00,14.38,10.03,35.21,36.12,36.61666666666667,
2015-07-01 00:08:00,,,34.63,36.13,36.3,
2015-07-01 00:09:00,14.66,8.52,34.76,,34.9,
2015-07-01 00:10:00,14.79,8.18,35.03,35.38,35.98,35.17
2015-07-01 00:11:00,14.719999999999999,8.1,35.39,,36.275000000000006,35.355
2015-07-01 00:12:00,14.56,7.89,35.65,,36.510000000000005,35.51
2015-07-01 00:13:00,14.323333333333332,7.416666666666667,35.87,,36.64,
2015-07-01 00:14:00,,7.43,35.97,,,
2015-07-01 00:15:00,14.33,7.050000000000001,35.730000000000004,,36.56,35.8
2015-07-01 00:16:00,14.03,6.93,,,,
2015-07-01 00:17:00,13.92,8.83,,,,
2015-07-01 00:18:00,13.79,9.055,,,,
2015-07-01 00:19:00,13.69,8.995,,35.85,,
2015-07-01 00:20:00,13.59,,,,,
2015-07-01 00:21:00,13.38,8.87,,,36.43,35.82
2015-07-01 00:22:00,13.21,8.934999999999999,,,36.379999999999995,
2015-07-01 00:23:00,,9.0,,,36.33,
2015-07-01 00:24:00,13.11,,,35.75,36.22,
2015-07-01 00:25:00,13.22,9.16,,35.7,36.17,
2015-07-01 00:26:00,13.17,9.094999999999999,,,35.88,
2015-07-01 00:27:00,,,,,,
2015-07-01 00:28:00,13.84,9.03,,,35.78,
2015-07-01 00:29:00,15.219999999999999,,,,35.32666666666666,
2015-07-01 00:30:00,16.150000000000002,,,35.65,34.19333333333333,
2015-07-01 00:31:00,,,,,,
2015-07-01 00:32:00,16.39,8.9,,35.55,33.35,
2015-07-01 00:33:00,16.23,12.81,,32.36,28.43,35.72
2015-07-01 00:34:00,16.11,13.54,35.67,34.1,34.24,
2015-07-01 00:35:00,15.91,13.454999999999998,,34.305,34.394999999999996,
2015-07-01 00:36:00,15.63,12.96,35.53,34.51,34.55,
2015-07-01 00:37:00,14.83,11.16,,,,
2015-07-01 00:38:00,14.51,10.25,,35.51,35.97,
2015-07-01 00:39:00,14.25,10.04,35.43,35.87,36.39,35.06
2015-07-01 00:40:00,,,,,,
2015-07-01 00:41:00,,8.62,34.3,36.4,36.84,35.17
2015-07-01 00:42:00,14.49,8.53,34.57,35.635000000000005,35.765,35.1
2015-07-01 00:43:00,,,34.91,35.24,35.8,
2015-07-01 00:44:00,14.6,8.14,35.08,35.58,36.28,35.03
2015-07-01 00:45:00,14.495000000000001,7.9,35.349999999999994,,36.11,35.295
2015-07-01 00:46:00,14.305,7.69,35.68,,36.31,35.475
2015-07-01 00:47:00,14.145,7.27,,,,35.69
2015-07-01 00:48:00,13.95,7.19,35.75,,,
2015-07-01 00:49:00,13.875,7.07,,,,35.8
2015-07-01 00:50:00,13.715,8.235,,,,35.745
2015-07-01 00:51:00,13.51,8.99,35.55,,,
2015-07-01 00:52:00,,,,,,
2015-07-01 00:53:00,13.44,8.91,,,,
2015-07-01 00:54:00,13.19,8.83,,,36.2,
2015-07-01 00:55:00,,,,,,
2015-07-01 00:56:00,,,,,36.07,
2015-07-01 00:57:00,,8.95,,,,
2015-07-01 00:58:00,,,,35.73,35.84,
2015-07-01 00:59:00,13.03,9.05,,35.665,,
2015-07-01 01:00:00,13.28,,,,35.71,
2015-07-01 01:01:00,14.91,,,,35.47,35.69
2015-07-01 01:02:00,15.733333333333334,,,,34.876666666666665,35.65333333333333
2015-07-01 01:03:00,16.04,,,35.6,34.3,
2015-07-01 01:04:00,16.16,,,,33.615,
2015-07-01 01:05:00,,8.91,,35.5,31.705,
2015-07-01 01:06:00,,10.52,35.65,35.215,28.270000000000003,35.58
2015-07-01 01:07:00,16.3,13.06,35.599999999999994,32.54,32.265,35.33
2015-07-01 01:08:00,16.0,12.79,,34.37,34.35,
2015-07-01 01:09:00,15.943333333333333,12.253333333333336,35.55,34.43666666666667,34.949999999999996,
2015-07-01 01:10:00,15.53,11.76,,35.28,35.8,34.8
2015-07-01 01:11:00,14.91,,,,,
2015-07-01 01:12:00,14.68,9.58,35.44,35.54,35.91,34.93
2015-07-01 01:13:00,14.6175,9.92,34.97,35.83,36.25,35.010000000000005
2015-07-01 01:14:00,14.606666666666667,8.843333333333334,34.31,,36.59,
2015-07-01 01:15:00,14.635,8.33,34.38,36.12,36.254999999999995,35.09
2015-07-01 01:16:00,,8.075,34.65,,34.86,34.96
2015-07-01 01:17:00,,8.01,34.980000000000004,35.31,35.815,35.015
2015-07-01 01:18:00,14.7,7.77,35.235,,35.92,35.17
2015-07-01 01:19:00,14.550000000000002,7.576666666666667,35.42,,35.77333333333333,35.35333333333333
2015-07-01 01:20:00,14.43,7.215,,,36.175,35.52
2015-07-01 01:21:00,14.29,7.01,35.65,,36.11,
2015-07-01 01:22:00,14.15,7.47,35.57,,35.765,35.67
2015-07-01 01:23:00,14.0,8.98,35.44,,34.17,35.620000000000005
2015-07-01 01:24:00,13.89,8.92,35.39,,,
2015-07-01 01:25:00,13.74,,,,,
2015-07-01 01:26:00,,,,,,
2015-07-01 01:27:00,13.6,,,,,
2015-07-01 01:28:00,13.47,,,,33.98,
2015-07-01 01:29:00,,8.86,,,,
2015-07-01 01:30:00,,,,35.65,33.83,35.57
2015-07-01 01:31:00,,,,,,
2015-07-01 01:32:00,13.36,8.97,,35.599999999999994,33.754999999999995,
2015-07-01 01:33:00,13.763333333333334,,,,33.78666666666667,
2015-07-01 01:34:00,,,,,,
2015-07-01 01:35:00,15.11,,,35.55,33.38333333333333,
2015-07-01 01:36:00,,,,35.47666666666667,33.196666666666665,
2015-07-01 01:37:00,,8.87,,,32.089999999999996,35.47
2015-07-01 01:38:00,,9.165,,35.44,28.975,35.519999999999996
2015-07-01 01:39:00,,12.43,,32.5,30.169999999999998,35.45
2015-07-01 01:40:00,15.87,12.79,,33.88,34.01,34.97
2015-07-01 01:41:00,15.77,12.219999999999999,35.51,34.28,34.27,
2015-07-01 01:42:00,15.515,12.02,35.455,34.525000000000006,34.895,
2015-07-01 01:43:00,14.780000000000001,10.315000000000001,,35.370000000000005,35.79,34.78
2015-07-01 01:44:00,14.325,9.49,35.4,35.504999999999995,35.94,34.86
2015-07-01 01:45:00,,9.479999999999999,34.97666666666667,35.92,36.46333333333334,34.94
2015-07-01 01:46:00,,8.434999999999999,34.23,,36.64,34.989999999999995
2015-07-01 01:47:00,14.26,8.2,34.36,36.2,36.465,
2015-07-01 01:48:00,14.340000000000002,7.953333333333333,34.57,35.663333333333334,35.623333333333335,
2015-07-01 01:49:00,,7.88,34.9,35.29,35.47,
2015-07-01 01:50:00,14.38,7.756666666666667,35.05,35.47,36.17,35.04
2015-07-01 01:51:00,14.25,7.5,35.31,,36.04,35.27
2015-07-01 01:52:00,14.175,7.16,35.629999999999995,,36.335,35.48
2015-07-01 01:53:00,14.06,7.006666666666667,35.72333333333333,,36.36333333333334,35.66
2015-07-01 01:54:00,13.98,6.85,35.79,35.82,36.25,
2015-07-01 01:55:00,13.853333333333333,7.710000000000001,35.62,35.75333333333333,35.37,
2015-07-01 01:56:00,13.683333333333332,8.8,35.47,,33.93,
2015-07-01 01:57:00,13.59,,,,,35.76
2015-07-01 01:58:00,,,,,33.89,
2015-07-01 01:59:00,,,,,,
2015-07-01 02:00:00,,,,,,
2015-07-01 02:01:00,,,,,,
2015-07-01 02:02:00,,,,,,
2015-07-01 02:03:00,,,,,,
2015-07-01 02:04:00,,,,,,
2015-07-01 02:05:00,,,,,,
2015-07-01 02:06:00,,,,,,
2015-07-01 02:07:00,,,,,,
2015-07-01 02:08:00,,,,,,
2015-07-01 02:09:00,,,,,,
2015-07-01 02:10:00,,,,,,
2015-07-01 02:11:00,,,,,,
2015-07-01 02:12:00,,,,,,
2015-07-01 02:13:00,,,,,,
2015-07-01 02:14:00,,,,,,
2015-07-01 02:15:00,,,,,,
2015-07-01 02:16:00,,,,,,
2015-07-01 02:17:00,,,,,,
2015-07-01 02:18:00,,,,,,
2015-07-01 02:19:00,,,,,,
2015-07-01 02:20:00,,,,,,
2015-07-01 02:21:00,,,,,,
2015-07-01 02:22:00,,,,,,
2015-07-01 02:23:00,,,,,,
2015-07-01 02:24:00,,,,,,
2015-07-01 02:25:00,,,,,,
2015-07-01 02:26:00,,,,,,
2015-07-01 02:27:00,,,,,,
2015-07-01 02:28:00,,,,,,
2015-07-01 02:29:00,,,,,,
