,BL-4120_._UFH-RR0042_SEN-001__WS.LT.IN_MEA.T_AI,BL-4120_._UFH-RR0042_SEN-002__WS.LT.OUT_MEA.T_AI,BL-4120_._UFH-RR0042_SEN.VF-003__WS.LT_MEA.VF_AI,BL-4120_._UFH_SEN.T-039__WS.LT.IN_MEA.T_AI,BL-4120_._UFH_SEN.T-040__WS.LT.OUT_MEA.T_AI,BL-4120_._UFH_SEN.VF-076__WS_MEA.VF_AI
2015-07-01 00:00:00,35.69,33.07,0.02713542,35.82,35.36,0.06903646
2015-07-01 00:00:00,,,,,,
2015-07-01 00:01:00,,,,,,
2015-07-01 00:02:00,,,,,,
2015-07-01 00:03:00,,,,35.71,35.25,
2015-07-01 00:04:00,,,,34.805,34.75,
2015-07-01 00:05:00,,,,34.19,34.0,
2015-07-01 00:06:00,,,,,,
2015-07-01 00:07:00,,,,34.49,34.21,
2015-07-01 00:08:00,35.58,,,35.01,34.55,
2015-07-01 00:09:00,35.27,,,35.215,34.72,
2015-07-01 00:10:00,34.85,32.97,,35.82,35.19,
2015-07-01 00:11:00,34.58,32.91,,36.0975,35.455,
2015-07-01 00:12:00,34.48,32.85,,36.125,35.61,
2015-07-01 00:13:00,34.63,,,35.878,35.454,
2015-07-01 00:14:00,34.77,32.73,,35.72,,
2015-07-01 00:15:00,35.13999999999999,32.65,,35.75333333333333,,
2015-07-01 00:16:00,35.41,,,,,
2015-07-01 00:17:00,35.53,32.61,,,,
2015-07-01 00:18:00,,,,,,
2015-07-01 00:19:00,,32.71,,,,
2015-07-01 00:20:00,,,,,,
2015-07-01 00:21:00,,32.81,,,,
2015-07-01 00:22:00,,,,,,
2015-07-01 00:23:00,,,,,,
2015-07-01 00:24:00,,,,,,
2015-07-01 00:25:00,,,,,,
2015-07-01 00:26:00,,,,,,
2015-07-01 00:27:00,,,,,,
2015-07-01 00:28:00,,,,,,
2015-07-01 00:29:00,,,,35.82,,
2015-07-01 00:30:00,,,,,,
2015-07-01 00:31:00,,,,,,
2015-07-01 00:32:00,,,,,35.31,
2015-07-01 00:33:00,,,,,,
2015-07-01 00:34:00,35.62,,,,,
2015-07-01 00:35:00,,,,35.72,,
2015-07-01 00:36:00,,,,35.61,35.21,
2015-07-01 00:37:00,,,,34.62,34.76,
2015-07-01 00:38:00,,,,33.99,34.11,
2015-07-01 00:39:00,,,,34.16,33.95,
2015-07-01 00:40:00,,,,,,
2015-07-01 00:41:00,35.51,,,34.52,34.2,
2015-07-01 00:42:00,35.2825,,,35.055,34.58,
2015-07-01 00:43:00,34.75,,,35.540000000000006,34.965,
2015-07-01 00:44:00,34.58,32.93,,35.84,35.195,
2015-07-01 00:45:00,34.504999999999995,32.85,,36.05,,
2015-07-01 00:46:00,34.43,32.68333333333333,,35.86666666666667,35.41,
2015-07-01 00:47:00,34.63,,,35.63333333333333,35.26333333333333,
2015-07-01 00:48:00,34.97,32.64,,35.58,,
2015-07-01 00:49:00,35.1,,,35.644999999999996,,
2015-07-01 00:50:00,,,,,,
2015-07-01 00:51:00,35.42,32.54,,,,
2015-07-01 00:52:00,,,,,,
2015-07-01 00:53:00,,,,,,
2015-07-01 00:54:00,,32.67,,,,
2015-07-01 00:55:00,,,,,,
2015-07-01 00:56:00,,,,,,
2015-07-01 00:57:00,,,,,,
2015-07-01 00:58:00,,,,,,
2015-07-01 00:59:00,,,,,,
2015-07-01 01:00:00,,32.8,,,,
2015-07-01 01:01:00,,,,,,
2015-07-01 01:02:00,,,,,,
2015-07-01 01:03:00,,,,,,
2015-07-01 01:04:00,,,,,,
2015-07-01 01:05:00,,,,,,
2015-07-01 01:06:00,,,,35.71,,
2015-07-01 01:07:00,,,,,,
2015-07-01 01:08:00,,,,,,
2015-07-01 01:09:00,,,,35.61,35.19,
2015-07-01 01:10:00,,,,34.96,34.89,
2015-07-01 01:11:00,,,,33.86,,
2015-07-01 01:12:00,,,,33.98,33.87,
2015-07-01 01:13:00,,,,34.055,33.94,
2015-07-01 01:14:00,35.47,,,34.38666666666666,34.080000000000005,
2015-07-01 01:15:00,35.27666666666667,,,34.88666666666666,34.41333333333333,
2015-07-01 01:16:00,34.894999999999996,32.9,,35.2575,34.7325,
2015-07-01 01:17:00,34.53,32.849999999999994,,35.65,35.04,
2015-07-01 01:18:00,34.36333333333334,32.72,,35.89000000000001,,
2015-07-01 01:19:00,34.32,32.666666666666664,,35.949999999999996,35.32,
