,BL-4120_Z-East_.__SEN.T-093__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-094__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.T-095__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-096__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.VF-097__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.VF-098__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.T-099__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-100__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.T-101__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-102__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.VF-103__WS_MEA.VF_AI,BL-4120_Z-West_.__SEN.VF-104__WS_MEA.VF_AI
2017-11-01 00:00:00,18.64,19.21,29.31,28.68,0.000625,0.87375,16.1,19.64,29.14,28.64,0.00125,0.965625
2017-11-01 00:00:00,,,,,,,,,,,,
2017-11-01 00:01:00,,,,,,,,,,,,
2017-11-01 00:02:00,,,,,,,,,,,,
2017-11-01 00:03:00,,,,,,,,,,,,
2017-11-01 00:04:00,,,,,,,,,,,,
2017-11-01 00:05:00,,,,,,,,,,,,
2017-11-01 00:06:00,,,,,,,,,,,,
2017-11-01 00:07:00,,,,,,,,,,,,
2017-11-01 00:08:00,,,,,,,,,,,,
2017-11-01 00:09:00,18.64,,,28.68,,,16.1,,29.14,,,
2017-11-01 00:10:00,,,,,,,,,,,,
2017-11-01 00:11:00,,,,,,,,,,,,
2017-11-01 00:12:00,,,,,,,,,,,,
2017-11-01 00:13:00,,,,,,,,,,,,
2017-11-01 00:14:00,,,,,,,,,,,,
2017-11-01 00:15:00,,,,,,,,,,,,
2017-11-01 00:16:00,,,,,,,,,,,,
2017-11-01 00:17:00,,,,,,,,,,,,
2017-11-01 00:18:00,,,,,,,,,,,,
2017-11-01 00:19:00,,,,,,,,,,,,
2017-11-01 00:20:00,,,,,,,,,,,,
2017-11-01 00:21:00,,,,,,,,,,,,
2017-11-01 00:22:00,,,,,,,,,,,,
2017-11-01 00:23:00,,,,,,,,,,,,
2017-11-01 00:24:00,18.640000000000004,,29.31,28.680000000000003,,,16.099999999999998,,29.139999999999993,28.64,,0.9656250000000001
2017-11-01 00:25:00,18.64,19.21,29.309999999999995,28.68,,0.87375,16.1,19.64,29.139999999999997,28.639999999999997,,0.965625
2017-11-01 00:26:00,,,,,,,,,,,,
2017-11-01 00:27:00,,,,,,,,,,,,
2017-11-01 00:28:00,,,,,,,,,,,,
2017-11-01 00:29:00,,,,,,,,,,,,
2017-11-01 00:30:00,,,,,,,,,,,,
2017-11-01 00:31:00,,,,,,,,,,,,
2017-11-01 00:32:00,,,,,,,,,,,,
2017-11-01 00:33:00,,,,,,,,,,,,
2017-11-01 00:34:00,,,,,,,,,,,,
2017-11-01 00:35:00,,,,,,,,,,,,
2017-11-01 00:36:00,,,,,,,,,,,,
2017-11-01 00:37:00,,,,,,,,,,,,
2017-11-01 00:38:00,,,,,,,,,,,,
2017-11-01 00:39:00,,,,,,,,,,,,
2017-11-01 00:40:00,18.640000000000004,19.210000000000004,,28.680000000000003,,0.8737500000000001,16.099999999999998,19.640000000000004,29.139999999999993,28.639999999999993,,0.9656250000000001
2017-11-01 00:41:00,,,,28.679999999999996,,0.8737499999999999,,,,,,0.9656249999999998
2017-11-01 00:42:00,,,29.31,,,,,,29.14,28.64,,
2017-11-01 00:43:00,,,,,,,,,,,,
2017-11-01 00:44:00,,,,,,,,,,,,
2017-11-01 00:45:00,,,,,,,,,,,,
2017-11-01 00:46:00,,,,,,,,,,,,
2017-11-01 00:47:00,,,,,,,,,,,,
2017-11-01 00:48:00,,,,,,,,,,,,
2017-11-01 00:49:00,,,,,,,,,,,,
2017-11-01 00:50:00,,,,,,,,,,,,
2017-11-01 00:51:00,,,,,,,,,,,,
2017-11-01 00:52:00,,,,,,,,,,,,
2017-11-01 00:53:00,,,,,,,,,,,,
2017-11-01 00:54:00,,,,,,,,,,,,
2017-11-01 00:55:00,,,,,,,,,,,,
2017-11-01 00:56:00,,,29.309999999999995,,,,,,29.139999999999997,28.639999999999997,,
