,BL-4120_._ACB-RR0117_SEN-004__WS.IN_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-005__WS.IN_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-006__WS.OUT_MEA.T_AI,BL-4120_._ACB-RR0117_SEN-007__WS.OUT_MEA.T_AI,BL-4120_._ACB-RR0117_SEN.VF-008__WS_MEA.VF_AI,BL-4120_._ACB-RR0117_SEN.VF-009__WS_MEA.VF_AI
2015-07-01 00:00:00,29.0,15.89,25.28,21.17,0.005625,0.03609375
2015-07-01 00:04:24,,16.01,,,,
2015-07-01 00:06:49,,16.14,,,,
2015-07-01 00:09:19,,15.99,,,,
2015-07-01 00:10:35,,15.66,,,,
2015-07-01 00:11:19,,15.18,,,,
2015-07-01 00:11:49,,14.91,,,,
2015-07-01 00:12:19,,14.65,,,,
2015-07-01 00:12:49,,14.41,,,,
2015-07-01 00:13:19,,,,21.07,,
2015-07-01 00:13:41,,14.19,,20.83,,
2015-07-01 00:13:49,,14.03,,,,
2015-07-01 00:14:19,,13.91,,,,
2015-07-01 00:15:19,,,,20.95,,
2015-07-01 00:15:49,,13.8,,20.66,,
2015-07-01 00:16:40,,13.91,,20.49,,
2015-07-01 00:18:19,,,,,,
2015-07-01 00:18:49,,14.17,,20.26,,
2015-07-01 00:19:49,,14.45,,,,
2015-07-01 00:20:19,,14.57,,,,
2015-07-01 00:21:19,,14.75,,,,
2015-07-01 00:22:38,,14.89,,,,
2015-07-01 00:23:19,,15.03,,20.16,,
2015-07-01 00:24:06,,,,,,
2015-07-01 00:24:49,,15.17,,,,
2015-07-01 00:25:28,,,,20.26,,
2015-07-01 00:25:49,,15.3,,,,
2015-07-01 00:26:19,,15.42,,20.37,,
2015-07-01 00:27:49,,,,20.51,,
2015-07-01 00:28:49,,15.56,,,,
2015-07-01 00:29:19,,15.67,,,,
2015-07-01 00:31:49,,,,20.62,,
2015-07-01 00:33:00,,15.83,,,,
2015-07-01 00:34:49,,15.95,,20.73,,
2015-07-01 00:38:19,,16.05,,,,
2015-07-01 00:43:49,,15.64,,,,
2015-07-01 00:44:19,,15.45,,,,
