,BL-4120_._C.RE-RR024_SEN-010__WS.C.IN_MEA.T_AI,BL-4120_._C.RE-RR024_SEN-011__WS.C.OUT_MEA.T_AI,BL-4120_._C.RE-RR024_SEN.VF-012__WS.C_MEA.VF_AI,BL-4120_._C.RE-RR018_SEN-107__WS.C.IN_MEA.T_AI,BL-4120_._C.RE-RR018_SEN-108__WS.C.OUT_MEA.T_AI,BL-4120_._C.RE-RR018_SEN.VF-110__WS.C_MEA.VF_AI,BL-4120_._C.RE-RR1039_SEN-147__WS.IN_MEA.T_AI,BL-4120_._C.RE-RR1039_SEN-148__WS.OUT_MEA.T_AI,BL-4120_._C.RE_SEN-149__WS.C_MEA_AI
2015-07-01 00:00:00,11.93,14.68,0.07833333,25.28,25.21,0.0025,24.78,23.79,0.0
2015-07-01 00:00:40,,,,,,,,,
2015-07-01 00:01:23,12.66,,,,,,,,
2015-07-01 00:02:50,,14.94,,,,,,,
2015-07-01 00:03:20,,15.32,,,,,,,
2015-07-01 00:04:24,13.49,16.17,,,,,,,
2015-07-01 00:05:53,13.89,16.83,,,,,,,
2015-07-01 00:06:50,13.54,,,,,,,,
2015-07-01 00:08:20,13.35,17.12,,,,,,,
2015-07-01 00:09:20,13.13,16.39,,,,,,,
2015-07-01 00:10:35,12.93,16.0,,,,,,,
2015-07-01 00:11:20,12.79,15.72,,,,,,,
2015-07-01 00:12:20,12.58,15.59,,,,,,,
2015-07-01 00:13:20,,15.43,,,,,,,
2015-07-01 00:13:41,12.43,,,,,,,,
2015-07-01 00:14:20,12.28,,,,,,,,
2015-07-01 00:15:20,,15.25,,,,,,,
2015-07-01 00:15:50,12.14,,,,,,,,
2015-07-01 00:16:20,,,,,,,,,
2015-07-01 00:17:10,12.0,15.12,,,,,,,
2015-07-01 00:17:20,11.81,14.96,,,,,,,
2015-07-01 00:18:20,11.66,14.85,,,,,,,
2015-07-01 00:19:50,12.06,14.65,,,,,,,
2015-07-01 00:21:20,11.93,,,,,,,,
2015-07-01 00:22:39,11.81,14.77,,,,,,,
2015-07-01 00:24:06,,,,,,,,,
2015-07-01 00:26:27,11.94,,,,,,,,
2015-07-01 00:34:50,12.66,,,,,,,,
2015-07-01 00:35:46,,14.66,,,,,,,
2015-07-01 00:36:50,13.3,15.23,,,,,,,
2015-07-01 00:37:50,13.42,,,,,,,,
2015-07-01 00:39:20,13.79,15.53,,,,,,,
2015-07-01 00:40:50,13.31,15.93,,,,,,,
2015-07-01 00:42:20,13.04,,,,,,,,
2015-07-01 00:42:50,12.92,15.75,,,,,,,
2015-07-01 00:43:50,12.81,15.63,,,,,,,
2015-07-01 00:45:10,12.64,,,,,,,,
2015-07-01 00:45:50,,15.5,,,,,,,
2015-07-01 00:46:20,12.45,,,,,,,,
2015-07-01 00:46:50,,15.34,,,,,,,
2015-07-01 00:47:20,12.28,,,,,,,,
2015-07-01 00:48:26,12.13,15.2,,,,,,,
2015-07-01 00:48:50,11.96,,,,,,,,
2015-07-01 00:49:20,11.84,,,,,,,,
2015-07-01 00:49:54,11.96,,,,,,,,
2015-07-01 00:50:24,11.84,14.99,,,,,,,
2015-07-01 00:50:50,11.59,14.76,,,,,,,
2015-07-01 00:51:50,11.44,,,,,,,,
2015-07-01 00:52:20,11.59,14.61,,,,,,,
2015-07-01 00:52:50,11.89,14.48,,,,,,,
2015-07-01 00:54:50,,,,,,,,,
2015-07-01 00:55:44,11.79,,,,,,,,
2015-07-01 01:00:54,12.18,14.59,,,,,,,
2015-07-01 01:02:24,12.3,14.7,,,,,,,
2015-07-01 01:03:29,12.44,14.83,,,,,,,
2015-07-01 01:06:54,,,,,,,24.68,,
2015-07-01 01:07:44,12.55,,,,,,,,
2015-07-01 01:07:54,12.66,14.96,,,,,,,
2015-07-01 01:08:54,13.44,,,,,,,,
2015-07-01 01:09:40,13.17,15.07,,,,,,,
2015-07-01 01:09:51,,15.25,,,,,,,
2015-07-01 01:10:54,13.54,,,,,,,,
2015-07-01 01:11:54,13.69,,,,,,,,
2015-07-01 01:12:24,13.82,,,,,,,,
2015-07-01 01:13:10,13.69,,,,,,,,
2015-07-01 01:13:22,,15.6,,,,,,,
2015-07-01 01:13:24,13.82,,,,,,,,
2015-07-01 01:13:54,,15.77,,,,,,,
2015-07-01 01:14:49,13.52,,,,,,,,
2015-07-01 01:14:54,13.4,15.93,,,,,,,
2015-07-01 01:15:54,13.22,,,,,,,,
2015-07-01 01:16:54,,15.79,,,,,,,
2015-07-01 01:17:24,13.1,,,,,,,,
2015-07-01 01:17:54,12.91,15.67,,,,,,,
2015-07-01 01:18:54,12.75,15.53,,,,,,,
2015-07-01 01:19:54,12.62,15.39,,,,,,,
2015-07-01 01:20:54,12.47,,,,,,,,
2015-07-01 01:21:11,12.37,15.26,,,,,,,
2015-07-01 01:22:24,,,,,,,,,
2015-07-01 01:22:39,,,,,25.11,,,,
2015-07-01 01:23:01,12.2,15.12,,,,,,,
