,BL-4120_._BOI.COND-H02_CTRL___SEV.T_AO,BL-4120_._BOI.COND-H02.1 _VAL-Y01__WS.H.IN.PRIM_SEV.POS_AO,BL-4120_._BOI.COND-H02.2_VAL-Y02__WS.H.IN.PRIM_SEV.POS_AO,BL-4120_._BOI.COND-H02.1_SEN-B01__WS.H.OUT.PRIM_MEA.T_AI,BL-4120_._BOI.COND-H02.2_SEN-B02__WS.H.OUT.PRIM_MEA.T_AI,BL-4120_._BOI.COND-H02_SEN-B03__HYDS_MEA.T_AI,BL-4120_._BOI.COND-H02.1_SEN-B06__WS.H.IN.PRIM_MEA.T_AI,BL-4120_._BOI.COND-H02.2_SEN-B07__WS.H.IN.PRIM_MEA.T_AI,BL-4120_._BOI.COND-H02_CTRL-A01___COM.CLEA_BO,BL-4120_._BOI.COND-H02.1_PU-M01__WS.H.IN.PRIM_COM_BO,BL-4120_._BOI.COND-H02.2_PU-M02__WS.H.IN.PRIM_COM_BO,BL-4120_._BOI.COND-H02_SW___COM_BI,BL-4120_._BOI.COND-H02.1_CTRL-A01___STAT_BI,BL-4120_._BOI.COND-H02_CTRL-A01___STAT_BI,BL-4120_._BOI.COND-H02.2_CTRL-A02___STAT_BI,BL-4120_._BOI.COND-H02_CTRL-A01___AL_BI,BL-4120_._BOI.COND-H02.1_PU-M01__WS.H.IN.PRIM_AL_BI,BL-4120_._BOI.COND-H02.2_PU-M02__WS.H.IN.PRIM_AL_BI,BL-4120_._BOI.COND-H02_CTRL___COM.CLEA_VAI,BL-4120_._BOI.COND-H02_CTRL___SEV.T.MIN_VAI,BL-4120_._BOI.COND-H02_CTRL___SEV.T.MAX_VAI,BL-4120_._BOI.COND-H02_SEN.VF-077__WS.H.PRIM_MEA.VF_AI,BL-4120_._BOI.COND-H02_SEN.T-041__WS.H.IN_MEA.T_AI,BL-4120_._BOI.COND-H02_SEN.T-042__WS.H.OUT_MEA.T_AI,BL-4120_._BOI.COND-H02_SEN-089__WS.H_MEA_AI
2017-04-01 00:00:00,60.0,0.0,0.0,65.20899,70.67203,33.11875,51.21259,51.72995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,87.0,80.85,83.48,1.81625,0.0
2017-04-01 00:11:02,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01 00:12:03,,,,,,,,,,,,,,,,,,,,,,81.68,,,
2017-04-01 00:14:02,,,,,,,,,,,,,,,,,,,,,,81.53,84.51,,
2017-04-01 00:16:02,,,,,,,,,,,,,,,,,,,,,,81.43,84.26,,
2017-04-01 00:18:02,,,,,,,,,,,,,,,,,,,,,,,,1.81375,
2017-04-01 00:18:03,,,,,,,,,,,,,,,,,,,,,,81.26,84.13,,
2017-04-01 00:20:02,,,,,,,,,,,,,,,,,,,,,,,,1.82125,
2017-04-01 00:20:03,,,,,,,,,,,,,,,,,,,,,,,,1.8075,
2017-04-01 00:32:03,,,,,,,,,,,,,,,,,,,,,,81.07,83.99,,
2017-04-01 00:35:02,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01 00:35:03,,,,,,,,,,,,,,,,,,,,,,79.86,82.89,,
2017-04-01 00:40:02,,,,,,,,,,,,,,,,,,,,,,,,1.80875,
2017-04-01 00:40:03,,,,,,,,,,,,,,,,,,,,,,79.33,82.34,,
2017-04-01 01:02:32,,,,,,,,,,,,,,,,,,,,,,77.24,80.27,,
2017-04-01 01:03:32,,,,,,,,,,,,,,,,,,,,,,,,1.80625,
2017-04-01 01:04:33,,,,,,,,,,,,,,,,,,,,,,77.1,80.15,,
2017-04-01 01:35:02,,,,,,,,,,,,,,,,,,,,,,,,1.805,
2017-04-01 01:36:03,,,,,,,,,,,,,,,,,,,,,,,,1.81375,
2017-04-01 01:41:03,,,,,,,,,,,,,,,,,,,,,,75.99,78.92,,
2017-04-01 02:03:32,,,,,,,,,,,,,,,,,,,,,,77.34,80.97,,
2017-04-01 02:04:32,,,,,,,,,,,,,,,,,,,,,,,,1.81625,
2017-04-01 02:04:33,,,,,,,,,,,,,,,,,,,,,,,,1.8025,
2017-04-01 02:05:33,,,,,,,,,,,,,,,,,,,,,,77.47,80.78,,
2017-04-01 02:27:02,,,,,,,,,,,,,,,,,,,,,,,,1.81375,
2017-04-01 02:27:03,,,,,,,,,,,,,,,,,,,,,,78.46,82.03,,
2017-04-01 02:48:32,,,,,,,,,,,,,,,,,,,,,,,82.05,,
2017-04-01 03:02:32,,,,,,,,,,,,,,,,,,,,,,78.53,82.06,,
2017-04-01 03:13:02,,,,,,,,,,,,,,,,,,,,,,,,1.81625,
2017-04-01 03:14:03,,,,,,,,,,,,,,,,,,,,,,78.77,82.1,,
2017-04-01 03:37:32,,,,,,,,,,,,,,,,,,,,,,78.9,82.28,,
2017-04-01 04:00:02,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01 04:00:03,,,,,,,,,,,,,,,,,,,,,,78.93,82.34,,
2017-04-01 04:26:32,,,,,,,,,,,,,,,,,,,,,,78.91,,,
2017-04-01 04:55:02,,,,,,,,,,,,,,,,,,,,,,79.13,82.27,,
2017-04-01 04:56:02,,,,,,,,,,,,,,,,,,,,,,,,1.81375,
2017-04-01 04:56:03,,,,,,,,,,,,,,,,,,,,,,78.88,81.9,,
2017-04-01 04:59:02,,,,,,,,,,,,,,,,,,,,,,,,1.82125,
2017-04-01 04:59:03,,,,,,,,,,,,,,,,,,,,,,78.63,81.8,,
2017-04-01 05:03:02,,,,,,,,,,,,,,,,,,,,,,78.71,82.04,,
2017-04-01 05:23:32,,,,,,,,,,,,,,,,,,,,,,78.37,81.71,,
2017-04-01 05:24:32,,,,,,,,,,,,,,,,,,,,,,78.27,81.99,,
2017-04-01 05:52:02,,,,,,,,,,,,,,,,,,,,,,,,1.81625,
