,BL-4120_Z-East_.__SEN.T-093__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-094__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.T-095__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-096__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.VF-097__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.VF-098__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.T-099__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-100__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.T-101__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-102__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.VF-103__WS_MEA.VF_AI,BL-4120_Z-West_.__SEN.VF-104__WS_MEA.VF_AI
2017-05-01 00:00:00,20.91,19.81,27.01,22.6,0.495,0.00125,20.21,21.32,27.46,26.89,1.0175,0.466875
2017-05-01 00:00:48,,,,,,,,,,,,
2017-05-01 00:00:49,,,,,,,,,,,,
2017-05-01 00:00:50,,,,,,,,,,25.98,0.97375,
2017-05-01 00:01:46,,,,,,,,,,,,0.4825
2017-05-01 00:01:47,,,,,,,,,,,,
2017-05-01 00:02:51,,,,,0.55875,,,,,,,
2017-05-01 00:02:52,,,,,,,,,,,,0.57625
2017-05-01 00:02:53,,,,22.44,,0.206875,,,,25.5,0.93125,
2017-05-01 00:03:18,,,,23.12,,,,,,,,
2017-05-01 00:04:12,,,,,0.579375,0.36375,,,,25.74,1.024375,0.6575
2017-05-01 00:04:17,,,,,,,,,,,,
2017-05-01 00:04:46,,,,,,,,,,26.44,,
2017-05-01 00:04:47,,,,,0.4975,,,,,,,0.41375
2017-05-01 00:04:48,,19.99,,,,,,,,,,
2017-05-01 00:06:14,,,,22.88,,,,,,,,
2017-05-01 00:06:15,,,,,0.509375,0.00125,,,27.33,,1.051875,
2017-05-01 00:06:16,,,,,,,,,,,,0.374375
2017-05-01 00:06:17,,,,,,0.180625,,,,26.9,0.89375,
2017-05-01 00:07:15,,,,,0.659375,,,,,,,0.534375
2017-05-01 00:07:16,,20.13,,,,,,,,,,
2017-05-01 00:08:12,,,27.13,22.34,0.68875,0.1975,,21.56,,26.19,0.9325,0.449375
